0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63
30	1	21	9	10	11	6	16	22	3	46	13	14	5	38	23	7	60	8	43	17	2	18	31	52	39	4	12	24	36	0	58	26	63	48	50	29	55	27	25	41	56	54	61	47	62	32	44	34	35	49	59	28	53	42	57	40	37	15	51	20	19	45	33
30	1	21	9	10	11	6	16	22	3	46	13	14	5	38	23	7	60	8	43	17	2	18	31	52	39	4	12	24	36	0	58	26	63	48	50	29	55	27	25	41	56	54	61	47	62	32	44	34	35	49	59	28	37	42	57	40	53	15	51	20	19	45	33
30	38	21	9	10	11	6	16	22	3	46	13	14	5	1	23	7	60	8	43	17	2	18	31	52	39	4	12	24	36	0	58	26	63	48	50	29	55	27	25	41	56	54	61	47	62	32	44	34	35	49	59	28	37	42	57	40	53	15	51	20	19	45	33
30	38	21	9	10	11	6	16	22	3	46	13	14	5	1	23	7	60	8	43	0	2	18	31	52	39	4	12	24	36	17	58	26	63	48	50	29	55	27	25	41	56	54	61	47	62	32	44	34	35	49	59	28	37	42	57	40	53	15	51	20	19	45	33
21	38	30	9	10	11	6	16	22	3	46	13	14	5	1	23	7	60	8	43	0	2	18	31	52	39	4	12	24	36	17	58	26	63	48	50	29	55	27	25	41	56	54	61	47	62	32	44	34	35	49	59	28	37	42	57	40	53	15	51	20	19	45	33
21	38	30	9	10	11	6	16	22	3	46	13	14	5	1	23	7	60	8	43	0	2	18	31	52	39	4	12	24	36	17	44	26	63	48	50	29	55	27	25	41	56	54	61	47	62	32	58	34	35	49	59	28	37	42	57	40	53	15	51	20	19	45	33
21	38	30	9	10	11	6	16	22	3	46	13	14	5	1	23	7	60	8	43	0	2	18	31	52	39	4	12	24	36	17	44	26	63	48	47	29	55	27	25	41	56	54	61	50	62	32	58	34	35	49	59	28	37	42	57	40	53	15	51	20	19	45	33
21	38	30	9	10	11	6	16	22	3	46	13	14	5	1	23	7	60	8	43	2	0	18	31	52	39	4	12	24	36	17	44	26	63	48	47	29	55	27	25	41	56	54	61	50	62	32	58	34	35	49	59	28	37	42	57	40	53	15	51	20	19	45	33
21	38	30	9	10	11	6	16	33	3	46	13	14	5	1	23	7	60	8	43	2	0	18	31	52	39	4	12	24	36	17	44	26	63	48	47	29	55	27	25	41	56	54	61	50	62	32	58	34	35	49	59	28	37	42	57	40	53	15	51	20	19	45	22
21	38	30	9	10	11	6	16	33	3	46	13	14	5	1	23	7	60	8	43	2	0	18	31	52	39	4	12	24	36	17	44	26	63	48	47	29	55	27	25	41	56	54	61	50	62	32	58	34	35	49	59	28	37	42	57	40	53	15	51	20	19	45	22
21	38	30	9	10	11	6	16	33	3	46	13	14	5	1	23	52	60	8	43	2	0	18	31	7	39	4	12	24	36	17	44	26	63	48	47	29	55	27	25	41	56	54	61	50	62	32	58	34	35	49	59	28	37	42	57	40	53	15	51	20	19	45	22
21	38	30	9	10	11	6	16	33	3	46	13	14	5	1	23	52	60	8	43	2	0	18	31	7	39	4	12	24	36	17	44	26	63	48	47	29	55	27	25	41	56	54	61	50	62	32	58	34	35	49	59	28	37	42	57	40	53	15	51	20	19	45	22
21	38	30	9	10	11	6	16	33	3	46	13	14	5	1	23	52	60	8	43	2	0	18	31	7	39	4	12	24	36	17	44	26	50	48	47	29	55	27	25	41	56	54	61	63	62	32	58	34	35	49	59	28	37	42	57	40	53	15	51	20	19	45	22
21	38	30	9	10	11	6	16	33	3	46	13	14	5	1	23	52	60	43	8	2	0	18	31	7	39	4	12	24	36	17	44	26	50	48	47	29	55	27	25	41	56	54	61	63	62	32	58	34	35	49	59	28	37	42	57	40	53	15	51	20	19	45	22
21	38	30	9	10	11	6	16	33	3	46	13	14	5	1	23	52	60	43	8	2	0	18	31	7	39	4	12	24	36	17	44	26	50	48	47	29	55	27	25	41	56	54	61	63	62	32	58	34	35	49	59	28	37	42	57	40	53	15	51	20	19	45	22
21	38	30	9	10	11	6	16	33	3	46	13	14	5	1	23	52	60	43	8	2	0	18	31	7	39	4	12	24	36	17	44	26	50	48	47	29	55	54	25	41	56	27	61	63	62	32	58	34	35	49	59	28	37	42	57	40	53	15	51	20	19	45	22
21	38	30	9	10	11	6	16	33	3	46	13	14	5	1	23	52	60	43	8	2	0	18	31	7	39	4	12	24	36	17	44	26	50	48	47	29	55	54	25	41	56	27	61	63	62	32	58	34	35	49	59	28	37	42	57	40	53	15	51	20	19	45	22
21	38	30	9	10	11	6	16	33	3	46	13	14	5	1	23	52	60	43	8	2	0	18	31	7	39	4	12	24	36	17	44	26	50	48	47	29	55	54	25	41	56	27	61	63	49	32	58	34	35	62	59	28	37	42	57	40	53	15	51	20	19	45	22
